task_id,Proximity + Prioritization_start,Proximity + Prioritization_finish,MIP_start,MIP_finish
CO_TFTU000006,2024-08-21 07:01:00,2024-08-21 07:01:32,2024-08-21 07:01:00,2024-08-21 07:01:32
CO_TFTU000059,2024-08-21 07:11:00,2024-08-21 07:11:18,2024-08-21 07:11:00,2024-08-21 07:11:18
CO_TFTU000141,2024-08-21 07:25:00,2024-08-21 07:25:39,2024-08-21 07:25:00,2024-08-21 07:25:39
CO_TFTU000158,2024-08-21 07:29:00,2024-08-21 07:30:23,2024-08-21 07:29:00,2024-08-21 07:30:23
CO_TFTU000162,2024-08-21 07:30:08,2024-08-21 07:31:53,2024-08-21 07:30:00,2024-08-21 07:31:45
CO_TFTU000176,2024-08-21 07:35:00,2024-08-21 07:36:22,2024-08-21 07:35:00,2024-08-21 07:36:22
CO_TFTU000219,2024-08-21 07:46:00,2024-08-21 07:48:57,2024-08-21 07:46:00,2024-08-21 07:48:57
CO_TFTU000220,2024-08-21 07:48:53,2024-08-21 07:49:58,2024-08-21 07:47:00,2024-08-21 07:48:04
CO_TFTU000230,2024-08-21 07:50:49,2024-08-21 07:52:08,2024-08-21 07:50:00,2024-08-21 07:51:18
CO_TFTU000257,2024-08-21 08:02:00,2024-08-21 08:02:36,2024-08-21 08:02:00,2024-08-21 08:02:36
